nama_komoditas,Bobot0,Bobot 2201,Bobot 2202,Bobot 2203,Bobot 2204,Bobot 2205,Bobot 2206,Bobot 2207,Bobot 2208,Bobot 2209,Bobot 2210,Bobot 2211,Bobot 2212,Bobot 2301,Bobot 2302,Bobot 2303,Bobot 2304,Bobot 2305,Bobot 2306,Bobot 2307,Bobot 2308,Bobot 2309,Bobot 2310,Bobot 2311,Bobot 2312,Bobot 2401,Bobot 2402,Bobot 2403,Bobot 2404,Bobot 2405,Bobot 2406,Bobot 2407,Bobot 2408,Bobot 2409,Bobot 2410,Bobot 2411,Bobot 2412,Bobot 2501,Bobot 2502,Bobot 2503,Bobot 2504,Bobot 2505,Bobot 2506,Bobot 2507,Bobot 2508,Bobot 2509,Bobot 2510,Bobot 2511,Bobot 2512,Bobot 2601,Bobot 2602,Bobot 2603,Bobot 2604,Bobot 2605,Bobot 2606,Bobot 2607,Bobot 2608,Bobot 2609,Bobot 2610,Bobot 2611,Bobot 2612,Bobot 2701,Bobot 2702,Bobot 2703,Bobot 2704,Bobot 2705,Bobot 2706,Bobot 2707,Bobot 2708,Bobot 2709,Bobot 2710,Bobot 2711,Bobot 2712
Cabai Merah,1.3643981683303497,,,,,,,,,,,,,1.0923222084448256,1.2461679850928067,1.138935903798428,0.7978227699575263,0.6025500285099354,0.7148257876210495,0.9624692771703126,1.0834379073001932,1.087284726137844,1.0496828152160038,1.6096458322384095,1.5573548327850972,1.1190838999795856,1.4836194821535846,1.7458351471846303,1.2692042640665657,1.5102165614603207,1.6145197092110855,1.220608125555622,1.1538014372476946,0.8562444953856262,0.8398614565281945,0.7908452900137591,0.8222474470181311,1.3633283622983323,1.3856001910599463,1.137380657583242,1.4456418793226715,0.9296711683181155,0.7100112005214589,0.7309023206979485,0.9215277355309531,1.8252294740107038,2.0188342207146874,1.7356614258013325,1.6913029205223098,1.0581451066908383,1.1723045047367258,0.9810057070080671,,,,,,,,,,,,,,,,,,,,,
Cabai Rawit,0.12391971580533444,,,,,,,,,,,,,0.12357426756077515,0.10897405223420412,0.10070410721605778,0.08581520916785272,0.07191449780520333,0.07930377903961291,0.08692229121575001,0.09548204192586329,0.09888067223480304,0.10643889262822337,0.15254244290795335,0.12579914752747606,0.10365692491570792,0.12995326736785343,0.15261278039112605,0.12429965600059503,0.10419632503757428,0.11193883706029802,0.123614922820274,0.12409641955105327,0.11536890497341507,0.09344877087655447,0.07722317988127815,0.09023518803534254,0.13902835793482174,0.1562618156637238,0.12365919320113525,0.1047659627427718,0.07769240858622548,0.07659589720829497,0.08351607744220665,0.09402999364527383,0.10039433000945787,0.08961761484202171,0.08459104184341332,0.18098604962088002,0.16267237684836508,0.13774363846289756,0.1273208116196002,,,,,,,,,,,,,,,,,,,,,
Bawang Merah,0.6151377940069536,,,,,,,,,,,,,0.6091707662338969,0.6035031678130768,0.5224943400056079,0.5232367218935133,0.5628249301785806,0.573743143867066,0.5777914951696098,0.46600777133078175,0.3957449722847871,0.41324222993841425,0.48828581114704567,0.5354595112950111,0.5156239212275686,0.46961858781243887,0.5367232726977094,0.6569739700393692,0.6993759979153359,0.6306598392853435,0.4798269945036009,0.3659826189599572,0.35844733775508747,0.41810716907274625,0.44856804945024337,0.44782240131635576,0.5071320770194139,0.4655243231506464,0.4549228402654989,0.5187518929393309,0.48444468524469947,0.48039587090458563,0.5701132212553153,0.6738014525609856,0.539802635040165,0.423216682958366,0.4482849819995083,0.5947769989645345,0.5526660643598095,0.5043015363889229,0.4556982501380017,,,,,,,,,,,,,,,,,,,,,
Bawang Putih,0.21251580256383892,,,,,,,,,,,,,0.20346345963448914,0.21407663571655086,0.22871963012140858,0.22542888453573295,0.25025411137927156,0.26719292389904903,0.2715904436775584,0.2785294204363393,0.27419269289265813,0.25679716051864787,0.24992054015181148,0.259808069210201,0.2680940061617055,0.26239312376093277,0.27331905372969156,0.28486846637760677,0.2795903454421061,0.275057026733525,0.271731936538504,0.26672538523836276,0.27630998900752557,0.2798699424028735,0.2822181223418036,0.28757212865326004,0.2935533776753498,0.2914255107377563,0.2967817248945468,0.3040029575684983,0.2783603808272467,0.25173006394404107,0.2414652368807837,0.24071492825184412,0.23718505833643438,0.23088453632191785,0.23113062349811617,0.2306592515373648,0.2417025610474913,0.23990721030780066,0.23830352291746934,,,,,,,,,,,,,,,,,,,,,
Tahu Mentah,0.30329124054632267,,,,,,,,,,,,,0.31480473730524405,0.3142858472202387,0.31470518555124805,0.3148122276453655,0.31449122403592156,0.31042282512077585,0.30950621347858975,0.3096480904696946,0.30862628201890785,0.3084872364735617,0.30654442269262433,0.3059253374292683,0.3066002667694014,0.3050123387235791,0.3029985608967305,0.302790716895485,0.3012314153740989,0.30122231363313445,0.3029732298283208,0.3040937154413062,0.30500776079030006,0.3053636999042158,0.3039706736461764,0.3023657438862362,0.3030555807668667,0.30380899721667726,0.3002774631328499,0.2962310138008271,0.297669481890682,0.2980166070826463,0.29674904982102235,0.2942785134429944,0.29149317356702625,0.2907972967844718,0.29110724168919255,0.28961278138856983,0.29138782785855105,0.29216200347908716,0.2939029731782871,,,,,,,,,,,,,,,,,,,,,
Tempe,0.2528007717434574,,,,,,,,,,,,,0.27225324014957697,0.27180448735083107,0.272167144597712,0.27225971803610854,0.27198210381238713,0.27123838511452514,0.27043747667131707,0.2705614446364215,0.2696686182987322,0.26954712436811545,0.2678495505111844,0.2673086119155269,0.2678202436926378,0.26635548852396607,0.26459693416812047,0.2644154320337472,0.2630537542726997,0.26304580607404277,0.264574813524971,0.26555329031079467,0.26635149079174286,0.2666623186650301,0.26544584266592947,0.26404431952740837,0.26464672741723705,0.26530465688786464,0.2622207046449053,0.2586870968140589,0.25994325540883184,0.26024638642468373,0.2591394776515343,0.2569820537039011,0.2545497240267692,0.25394204172399604,0.2542127046317914,0.2501172817917183,0.2502319162337982,0.24963438287734738,0.250117746197717,,,,,,,,,,,,,,,,,,,,,
Gula Pasir,0.2634010169534848,,,,,,,,,,,,,0.2560994408430387,0.25766834505562763,0.26000289048183556,0.25974669762734787,0.2589743531184472,0.2609786157234026,0.26304155802232976,0.2658952139693508,0.26962508548977165,0.2788162356900859,0.29296213078310107,0.30123484747572127,0.30090510798199727,0.30160620123061643,0.2998919536122118,0.30464679411099516,0.30724099454499376,0.30434028599861657,0.3060150137613845,0.31109176314292253,0.309595146278765,0.31070975382649135,0.30909162435843474,0.3074596565750605,0.3109422413682508,0.31609649743936713,0.31353645960687276,0.30974092614396265,0.31234371052721316,0.3122981973631812,0.3029263425081261,0.2938935487671769,0.29079519856716585,0.28983153644894644,0.2920397752323521,0.28941551827908324,0.29010203901286313,0.2933944448525331,0.30318847801773646,,,,,,,,,,,,,,,,,,,,,
Susu Bubuk Untuk Balita,0.1770384098016502,,,,,,,,,,,,,0.17232350013635359,0.17394964065256127,0.1764956881383416,0.17790987453941415,0.17782876856540428,0.17744148312392238,0.17678617189028822,0.1771720126343163,0.1834934132651801,0.18332184837124657,0.18174076386886015,0.1812110604082396,0.1818517864331687,0.18148716038774992,0.17833198817216694,0.1777472042362899,0.17616912252668757,0.17641937975894822,0.17748731774924278,0.1783748336845082,0.1791717379101476,0.17958211523984058,0.17877733807512913,0.17771718085035207,0.1791482130929234,0.17925580252939052,0.1776524069264164,0.17523162444176074,0.17618031026342948,0.17495675305362843,0.17407905970081855,0.17262979255100575,0.17037218205030805,0.17008935850425405,0.17048638034191804,0.1681770968246263,0.16887370685943717,0.16844665885795995,0.16902422021971994,,,,,,,,,,,,,,,,,,,,,
Susu Bubuk Untuk Bayi,0.09745690484855639,,,,,,,,,,,,,0.09880490431096414,0.0991613776030828,0.0996908800302359,0.10022759673269077,0.10045677298657399,0.10075419980765064,0.10120323630422913,0.10182639008181989,0.10198534453493796,0.10209536430670586,0.10137543501122057,0.10108765007387566,0.10064398352650548,0.10045531229491546,0.09977492362026087,0.09970611937565102,0.09909549196572091,0.09958561178105302,0.10018271343143277,0.10080870971364113,0.1014402215437172,0.10155051048020135,0.10034115463400113,0.09794828408637492,0.09836257101283315,0.09873981436201741,0.09794896524194445,0.09650194099607258,0.09716762379832865,0.09703838556290839,0.09632547196656255,0.0955088420795331,0.09426238713555485,0.09391337256165423,0.09422934904947294,0.0931629737929536,0.09352378363861921,0.09318838211565687,0.09292193206317934,,,,,,,,,,,,,,,,,,,,,
Bahan Bakar Rumah Tangga,1.2042807575913936,,,,,,,,,,,,,1.1902988432426278,1.1883368833520656,1.1899224310620535,1.190327164745215,1.1891134275306212,1.185861868411337,1.1822227656128186,1.1827188382312541,1.178815981598177,1.178284889074391,1.1706899394543777,1.1681200456852632,1.170146511127136,1.1637467777587962,1.156063392008159,1.155270382165547,1.1493210093347255,1.1492862824716623,1.1559667436254666,1.1602418543540807,1.16372931107163,1.165087364318365,1.1597723995995248,1.1536489363833293,1.1562809461255332,1.1591555379189233,1.1456812915071284,1.1302424328982854,1.1357307767845786,1.1370552013154611,1.1322189521164525,1.1227928457454854,1.112165635321193,1.1095105808837107,1.1106931474174482,1.1005643812493784,1.104350416386788,1.1017133178865912,1.1332810697029359,,,,,,,,,,,,,,,,,,,,,
Emas Perhiasan,1.2928313255902142,,,,,,,,,,,,,1.3142490366062012,1.3016439581856463,1.3193791893847417,1.3400646138593442,1.3330545774109082,1.3184686861167054,1.3035251185432144,1.3008156835521651,1.3026054718428113,1.3144147890267808,1.3435695528302294,1.3693461869067276,1.3945270180034572,1.3824457047269527,1.4266043694356687,1.5540763023569402,1.63152625971724,1.627788421962015,1.6643416746865314,1.7034278311186208,1.716874708241808,1.79517592793766,1.8362340796896537,1.8172101124014226,1.8594890889556446,2.000635563039914,2.0539505017597404,2.2847190906724713,2.2961752316948836,2.330724105097762,2.3172364838797908,2.32313638349251,2.4325133497273237,2.79331250175808,2.820893566888483,2.956000133384124,3.1311223714704024,3.3786893199713357,3.2909205029427313,,,,,,,,,,,,,,,,,,,,,
